opportunity_id,lead_id,account_id,sales_rep,stage,created_date,close_date,deal_value,probability,result
1,4,,Alex Chen,Closed,2025-06-01,2025-07-16,88904,0,Closed Lost
2,5,1,Emily Tsai,Closed,2024-08-13,2024-09-23,252880,100,Closed Won
3,8,,Brian Lin,Closed,2025-09-10,2025-10-25,391233,0,Closed Lost
4,9,,Alex Chen,Closed,2025-01-22,2025-03-17,196834,0,Closed Lost
5,12,,Brian Lin,Closed,2024-10-11,2024-11-25,74293,0,Closed Lost
6,14,2,Cathy Wang,Closed,2025-09-15,2025-10-28,364821,100,Closed Won
7,18,,David Huang,Closed,2024-08-05,2025-01-28,1513180,0,Closed Lost
8,19,,David Huang,Closed,2024-05-26,2024-07-08,152713,0,Closed Lost
9,22,3,Brian Lin,Closed,2024-06-05,2024-07-09,100295,100,Closed Won
10,24,,Cathy Wang,Closed,2025-11-27,2026-03-25,1404094,0,Closed Lost
11,25,,Alex Chen,Closed,2025-10-18,2025-11-25,111529,0,Closed Lost
12,27,,Emily Tsai,Closed,2025-06-03,2025-07-09,118586,0,Closed Lost
13,37,4,Alex Chen,Closed,2024-08-22,2025-01-01,1526202,100,Closed Won
14,39,,Emily Tsai,Closed,2025-08-07,2025-10-16,248368,0,Closed Lost
15,44,,Alex Chen,Closed,2024-07-06,2024-12-31,1172548,0,Closed Lost
16,45,,Cathy Wang,Closed,2025-03-29,2025-04-29,117731,0,Closed Lost
17,46,,Brian Lin,Closed,2024-04-05,2024-04-27,104279,0,Closed Lost
18,47,,Alex Chen,Closed,2025-05-07,2025-08-27,1615959,0,Closed Lost
19,51,5,Cathy Wang,Closed,2024-11-17,2024-12-02,90291,100,Closed Won
20,54,6,Cathy Wang,Closed,2025-08-15,2025-09-23,40298,100,Closed Won
21,55,,Alex Chen,Closed,2024-09-24,2024-10-30,77685,0,Closed Lost
22,56,,Emily Tsai,Closed,2025-02-09,2025-03-26,69192,0,Closed Lost
23,61,,Emily Tsai,Closed,2025-11-14,2026-01-28,1679444,0,Closed Lost
24,63,,Alex Chen,Closed,2024-10-05,2024-12-29,319822,0,Closed Lost
25,65,,Alex Chen,Closed,2024-02-22,2024-04-15,410879,0,Closed Lost
26,75,7,Emily Tsai,Closed,2025-01-26,2025-02-13,93962,100,Closed Won
27,78,,Alex Chen,Closed,2024-12-25,2025-02-21,186096,0,Closed Lost
28,79,,Emily Tsai,Closed,2024-01-29,2024-02-17,54393,0,Closed Lost
29,87,8,David Huang,Closed,2025-09-22,2025-10-19,114113,100,Closed Won
30,88,,Brian Lin,Closed,2024-11-07,2024-12-17,459812,0,Closed Lost
31,93,9,Alex Chen,Closed,2025-09-17,2025-10-04,81163,100,Closed Won
32,97,10,David Huang,Closed,2025-11-14,2026-02-01,170605,100,Closed Won
